    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
       228      2.82375620e+00      2.80842983e+00      2.80842983e+00     -0.00000000e+00                          0.00000000e+00    
       229      2.69031958e+00      2.65232720e+00      2.65232720e+00     -0.00000000e+00                          0.00000000e+00    
       230      3.46379290e+00      3.42068837e+00      3.42068837e+00     -0.00000000e+00                          0.00000000e+00    
       231      3.68961216e+00      3.71074637e+00      3.71074637e+00     -0.00000000e+00                          0.00000000e+00    
       232      4.97714746e+00      4.97988280e+00      4.97988280e+00     -0.00000000e+00                          0.00000000e+00    
       233      4.49882215e+00      4.55587010e+00      4.55587010e+00     -0.00000000e+00                          0.00000000e+00    
       234      5.05515912e+00      5.06189064e+00      5.06189064e+00     -0.00000000e+00                          0.00000000e+00    
       235      3.11123724e+00      3.05136727e+00      3.05136727e+00     -0.00000000e+00                          0.00000000e+00    
       236      4.05997089e+00      4.02892874e+00      4.02892874e+00     -0.00000000e+00                          0.00000000e+00    
       237      2.62613257e+00      2.66525168e+00      2.66525168e+00     -0.00000000e+00                          0.00000000e+00    
       238      2.30722667e+00      2.32769381e+00      2.32769381e+00     -0.00000000e+00                          0.00000000e+00    
       239      5.41069256e+00      5.50361462e+00      5.50361462e+00     -0.00000000e+00                          0.00000000e+00    
       240      4.64275262e+00      4.62249585e+00      4.62249585e+00     -0.00000000e+00                          0.00000000e+00    
       241      3.59546691e+00      3.60491212e+00      3.60491212e+00     -0.00000000e+00                          0.00000000e+00    
       242      5.20396603e+00      5.13123630e+00      5.13123630e+00     -0.00000000e+00                          0.00000000e+00    
       243      4.07267068e+00      4.07743668e+00      4.07743668e+00     -0.00000000e+00                          0.00000000e+00    
       244      2.02396808e+00      1.99030095e+00      1.99030095e+00     -0.00000000e+00                          0.00000000e+00    
       245      4.85085377e+00      4.87889457e+00      4.87889457e+00     -0.00000000e+00                          0.00000000e+00    
       246      4.36610866e+00      4.33707567e+00      4.33707567e+00     -0.00000000e+00                          0.00000000e+00    
       247      4.69789853e+00      4.74661965e+00      4.74661965e+00     -0.00000000e+00                          0.00000000e+00    
       248      3.20689334e+00      3.22738965e+00      3.22738965e+00     -0.00000000e+00                          0.00000000e+00    
       249      4.78655834e+00      4.80256172e+00      4.80256172e+00     -0.00000000e+00                          0.00000000e+00    
       250      4.60194605e+00      4.60395203e+00      4.60395203e+00     -0.00000000e+00                          0.00000000e+00    
       251      4.37529722e+00      4.35517889e+00      4.35517889e+00     -0.00000000e+00                          0.00000000e+00    
       252      3.15814546e+00      3.19014027e+00      3.19014027e+00     -0.00000000e+00                          0.00000000e+00    
       253      3.29594729e+00      3.30606458e+00      3.30606458e+00     -0.00000000e+00                          0.00000000e+00    
       254      7.02588124e+00      7.01309266e+00      7.01309266e+00     -0.00000000e+00                          0.00000000e+00    
       255      3.06478805e+00      2.99558567e+00      2.99558567e+00     -0.00000000e+00                          0.00000000e+00    
       256      3.59361237e+00      3.55150636e+00      3.55150636e+00     -0.00000000e+00                          0.00000000e+00    
       257      4.22881210e+00      4.23207545e+00      4.23207545e+00     -0.00000000e+00                          0.00000000e+00    
       258      4.41652303e+00      4.40434982e+00      4.40434982e+00     -0.00000000e+00                          0.00000000e+00    
       259      6.84509099e+00      6.82734187e+00      6.82734187e+00     -0.00000000e+00                          0.00000000e+00    
       260      3.45866389e+00      3.38138159e+00      3.38138159e+00     -0.00000000e+00                          0.00000000e+00    
       261      6.43225144e+00      6.46775261e+00      6.46775261e+00     -0.00000000e+00                          0.00000000e+00    
       262      3.10347671e+00      3.04751061e+00      3.04751061e+00     -0.00000000e+00                          0.00000000e+00    
       263      4.84139413e+00      4.68595178e+00      4.68595178e+00     -0.00000000e+00                          0.00000000e+00    
       264      3.63556966e+00      3.62381984e+00      3.62381984e+00     -0.00000000e+00                          0.00000000e+00    
       265      4.82192552e+00      4.89376809e+00      4.89376809e+00     -0.00000000e+00                          0.00000000e+00    
       266      4.39744172e+00      4.36093212e+00      4.36093212e+00     -0.00000000e+00                          0.00000000e+00    
       267      3.83031121e+00      3.87350893e+00      3.87350893e+00     -0.00000000e+00                          0.00000000e+00    
       268      5.09892728e+00      5.11795211e+00      5.11795211e+00     -0.00000000e+00                          0.00000000e+00    
       269      4.27222923e+00      4.19774471e+00      4.19774471e+00     -0.00000000e+00                          0.00000000e+00    
       270      3.26516557e+00      3.31607941e+00      3.31607941e+00     -0.00000000e+00                          0.00000000e+00    
